id,membro_id,parente_id,tipo_relacionamento,created_at,updated_at
742adcdc-a455-40ba-8b4d-658db701c8dc,24924987,ca6e3d2e,pai,2025-09-01 14:50:52.205471+00,2025-09-01 14:50:52.205471+00
74f1771f-b544-4efd-accf-c7920f61bffe,MEM000048,MEM000166,filho,2025-09-04 14:57:28.881123+00,2025-09-04 14:57:28.881123+00
776cf7c5-b304-4b25-a501-088a859be5ad,18d13212,MEM000048,conjuge,2025-09-04 14:49:09.852001+00,2025-09-04 14:49:09.852001+00
7a13a337-71cc-4c9d-8c8f-7bb7c2642a32,mem00040,mem00008,conjuge,2025-08-27 11:15:42.681522+00,2025-08-27 11:15:42.681522+00
7c3b7dfe-15f2-4cb4-a684-d37c8ec4611c,mem00008,mem00040,conjuge,2025-10-17 15:29:35.775771+00,2025-10-17 15:29:35.775771+00
7cad5867-ff62-4630-a5f3-9f62627bc7b6,d22d1bad,f5574509,pai,2025-09-01 14:39:04.242569+00,2025-09-01 14:39:04.242569+00
7d38a535-5c95-4bad-af54-9e250cdc77c0,24924987,1846fa7b,mae,2025-09-01 14:51:07.99132+00,2025-09-01 14:51:07.99132+00
7e25f3ab-c73f-4fd1-9782-69e4e398232f,829999c2,18d13212,mae,2025-09-04 14:50:19.406559+00,2025-09-04 14:50:19.406559+00
7eb268f8-8fd1-4295-b65e-b48d0cc024a2,e6d55cd2,f7dc55e7,conjuge,2025-10-08 16:30:10.686235+00,2025-10-08 16:30:10.686235+00
814ec462-9b37-42c2-b28c-74c02272e0b0,120fca35,MEM000529,irmao,2025-09-04 15:04:54.110744+00,2025-09-04 15:04:54.110744+00
