idavaliacao,idfrase,valor
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,0aa77e93-326e-4e35-83e6-22d58a2419fd,3
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,0d9b19d1-ce7e-4cf3-b80d-7cf421600bed,1
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,144b8f8d-0b72-438b-821a-795837ef8fad,2
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,1f5af8d7-4476-4eb1-9016-e83356fa6374,1
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,2386cd85-1f80-40bf-a440-ba5ef2dfa19d,0
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,24e269be-4049-45df-811f-67666cb986bc,1
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,2835ed85-fa74-4950-8c8b-d648467630fc,1
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,341fb2d9-1e39-474b-84e7-b7343aa24a34,1
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,3e58e2ea-edee-4354-bb2e-f90461d874d1,1
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,3f83db3f-2748-4bae-bc85-5013a12d746e,3
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,4139d57c-5d98-4dec-8914-7757f7986bfb,3
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,42e8ae36-89aa-4e84-983e-571a0b695af8,1
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,54d9123c-365e-4a9a-b7c5-041e2041b8e8,1
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,5867e180-9785-471c-b188-066523c7a9c6,2
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,592ac40b-4132-4f51-950c-5fd4350e9b53,2
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,698822fe-9bd3-4503-a133-b8add18dd732,1
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,714f4085-2ccf-4a1a-997c-f0a789c3eb37,2
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,77db9dcd-41c7-4a1b-8ae8-728b5be5a095,0
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,7efb264a-25dd-460a-bfae-c8a6f87ba9f7,1
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,84efadb3-4340-49c8-9e01-2059873e207c,2
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,870cd564-9c4a-4843-8b1c-3bfd113e25bf,2
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,88553634-9f30-47d7-84d9-769324235e09,2
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,8a823e38-d132-4185-9042-19a479ba2f9e,1
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,8cfdf231-27c6-4a5e-81c9-18636b887cfc,1
