idagenda,iddepto,idlider,data,horario_inicial,horario_final,idlocal,ideventoig,idstatus,descricao,observacao,created_by,created_at,updated_at
632ba183,9327fe0b,,2025-07-30,,,e9150cce,53f1bfc8,,Culto de Quarta - Família no Altar,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
6608c7f7,9327fe0b,,2025-10-29,,,e9150cce,680a163d,,Culto de Quarta - Dando Destino,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
665e285f,e910cfb7,,2025-11-22,,,e9150cce,66792a7d,,Culto Drops,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
66f8b7d4,9327fe0b,,2025-07-23,,,e9150cce,53f1bfc8,,Culto de Quarta - Família no Altar,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
679a807b,e910cfb7,,2025-08-02,,,e9150cce,66792a7d,,Culto Drops,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
6b2920d4,9327fe0b,,2025-06-29,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
6b3c6e50,9327fe0b,,2025-05-31,,,e9150cce,0e89bb50,,Culto Elite,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
6c8f1081,9327fe0b,,2025-07-09,,,e9150cce,53f1bfc8,,Culto de Quarta - Família no Altar,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
6cf2d62b,9327fe0b,,2025-11-07,,,e9150cce,18b6eadd,,Oásis,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
6d1c9556,9327fe0b,,2025-09-17,,,e9150cce,b9c642aa,,Culto de Quarta - Evangelismo,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
6d7cba81,9327fe0b,,2024-12-01,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
6e086d07,9327fe0b,,2025-11-26,,,e9150cce,1317e71b,,Culto de Quarta - Imersão de Adoração,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
6e92fc84,9327fe0b,,2025-01-25,,,e9150cce,232b12c4,,12 Dias de Jejum,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
7235b18e,9327fe0b,,2025-02-16,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
733df97a,e91c4307,,2025-02-10,,,e9150cce,ae58e697,,Reunião de Departamento,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
735d7c99,f5a571ce,,2025-04-03,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
73d302d3,ad72a13c,,2025-02-14,,,,ae1b6f9f,,Batismo,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
75b24d9c,9327fe0b,,2025-04-20,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
75e94f32,9327fe0b,,2025-12-14,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
7639df52,9327fe0b,,2025-09-03,,,e9150cce,b9c642aa,,Culto de Quarta - Evangelismo,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
78af221f,9327fe0b,,2024-12-15,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
79fd3849,9327fe0b,,2024-12-19,,,e9150cce,85f587e7,,Quinta Profética,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
7a61cae0,9327fe0b,,2024-12-05,,,e9150cce,85f587e7,,Quinta Profética,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
7ce06604,9327fe0b,,2025-05-04,,,e9150cce,c6fb330e,,Santa Ceia,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
7cf480d6,9327fe0b,,2025-05-08,,,e9150cce,18b6eadd,,Oásis,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
7dfeb462,33b4a9a3,,2025-11-25,,,e9150cce,172ae3c7,,Ensaio Louvor,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
7f62ec2b,be798a58,,2025-02-12,,,e9150cce,1f5005d7,,Culto dos Homens,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
802f92ac,f5a571ce,,2025-03-20,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
83f27e4a,cafb25b8,,2025-01-05,,,e9150cce,c6fb330e,,Santa Ceia,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
84484ba7,f5a571ce,,2025-12-04,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
84b2c183,9327fe0b,,2025-11-12,,,e9150cce,1317e71b,,Culto de Quarta - Imersão de Adoração,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
84b6419b,e910cfb7,,2025-05-03,,,e9150cce,66792a7d,,Culto Drops,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
84cbe988,f5a571ce,,2025-11-13,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
84e580fe,f5a571ce,,2025-11-27,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
858a0e77,9327fe0b,,2024-12-08,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
870a1939,9327fe0b,,2025-09-14,,,e9150cce,5ace9da0,,Consagração Crianças,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
8804f9b1,9327fe0b,,2025-03-02,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
887e02e0,9327fe0b,,2025-03-01,,,e9150cce,0e89bb50,,Culto Elite,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
8ab5da92,9327fe0b,,2025-04-02,,,e9150cce,cea4ab02,,Culto de Quarta - Criação de Filhos,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
8b48054a,9327fe0b,,2025-04-13,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
8eb04411,9327fe0b,,2025-09-07,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
90b3310b,ad72a13c,,2025-02-21,,,,ae1b6f9f,,Batismo,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
912a81b9,9327fe0b,,2025-06-04,,,e9150cce,24c63695,,Culto de Quarta - Casais,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
91eaee63,9327fe0b,,2025-10-05,,,e9150cce,c6fb330e,,Santa Ceia,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
924e40e7,f5a571ce,,2025-06-05,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
92e2fdfd,9327fe0b,,2025-01-24,,,e9150cce,232b12c4,,12 Dias de Jejum,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
93a95a68,9327fe0b,,2025-11-29,,,e9150cce,0e89bb50,,Culto Elite,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
9432aed6,f5a571ce,,2025-05-29,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
964634ba,9327fe0b,,2025-01-12,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
96c42c4d,9327fe0b,,2025-08-24,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
973025d0,9327fe0b,,2025-01-19,,,e9150cce,232b12c4,,12 Dias de Jejum,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
986cc22b,9327fe0b,,2025-11-09,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
98c80ea8,9327fe0b,,2025-01-12,,,e9150cce,5ace9da0,,Consagração Crianças,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
9b2405de,9327fe0b,,2025-12-07,,,e9150cce,c6fb330e,,Santa Ceia,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
9b47dab3,9327fe0b,,2024-11-28,,,e9150cce,85f587e7,,Quinta Profética,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
9bb71fed,9327fe0b,,2025-12-21,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
