"strong_code","language","lemma","transliteration"
"H0305","hebrew","אַחֲלַי","a.cha.lay"
"H0306","hebrew","אַחְלָ֑מָה","ach.la.mah"
"H0307","hebrew","אַחְמְתָא","ach.me.ta"
"H0308","hebrew","אֲחַסְבַּי","a.chas.bay"
"H0309","hebrew","אָחַר","a.char"
"H0310a","hebrew","אַחַר","a.char"
"H0310b","hebrew","אַחֲרַי","a.cha.ray"
"H0311","hebrew","אַחַר","a.char"
"H0312","hebrew","אַחֵר","a.cher"
"H0313","hebrew","אַחֵר","a.cher"
"H0314","hebrew","אַחֲרוֹן","a.cha.ron"
"H0315","hebrew","אַחְרַח","ach.rach"
"H0316","hebrew","אֲחַרְחֵל","a.char.chel"
"H0317","hebrew","אׇחֳרִי","o.cho.ri"
"H0318","hebrew","אׇחֳרֵין","o.cho.ren"
"H0319","hebrew","אַחֲרִית","a.cha.rit"
"H0320","hebrew","אַחֲרִית","a.cha.rit"
"H0321","hebrew","אׇחֳרָן","o.cho.ran"
"H0322","hebrew","אֲחֹרַנִּית","a.cho.ran.nit"
"H0323","hebrew","אֲחַשְׁדַּרְפַּן","a.chash.dar.pan"
"H0324","hebrew","אֲחַשְׁדַּרְפְּנִין","a.chash.dar.pan"
"H0325","hebrew","אֲחַשְׁוֵרוֹשׁ","a.chash.ve.rosh"
"H0326","hebrew","אֲחַשְׁתָּרִי","a.chash.ta.ri"
"H0327","hebrew","אֲחַשְׁתְּרָן","a.chash.ta.ran"
"H0328a","hebrew","אִטִּי","it.ti"
"H0328b","hebrew","אַט","at"
"H0329","hebrew","אָטָד","a.tad"
"H0330","hebrew","אֵטוּן","e.tun"
"H0331","hebrew","אָטַם","a.tam"
"H0332","hebrew","אָטַר","a.tar"
"H0333","hebrew","אָטֵר","a.ter"
"H0334","hebrew","אִטֵּר","it.ter"
"H0335","hebrew","אַי","ay"
"H0336","hebrew","אִי","i"
"H0337","hebrew","אִי","i"
"H0338","hebrew","אִי","i"
"H0339","hebrew","אִי","i"
"H0340","hebrew","אָיַב","a.yav"
"H0341","hebrew","אֹיֵב","o.yev"
"H0342","hebrew","אֵיבָה","e.vah"
"H0343","hebrew","אֵיד","ed"
"H0344","hebrew","אַיָּה","ay.yah"
"H0345","hebrew","אַיָּה","ay.yah"
"H0346","hebrew","אַיֵּה","ay.yeh"
"H0347","hebrew","אִיּוֹב","iy.yov"
"H0348","hebrew","אִיזֶבֶל","i.ze.vel"
"H0349a","hebrew","אֵיךְ","ekh"
"H0349b","hebrew","אֵיכָה","e.khah"
